REF_ID,PUB_TYPE,Referece
REF0206,Article,"Raboy, B. E., and Fontoura, T. 2009. Bromeliad use in wild golden-headed lion tamarins (Leontopithecus chrysomelas): continued evidence of their mutually beneficial relationship. American Journal of Primatology. 71: 43-43.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0207,Article,"de Carvalho Oliveira, L., Câmara, E. M. V., Hirsch, A., Paschoal, A. M. O., Alvarenga, R. M., and Belarmino, M. G. 2003. Callithrix geoffroyi (Primates: Callitrichidae) and Alouatta caraya (Primates: Atelidae) in the Serra do Cip National Park, Minas Gerais, Brazil. Neotropical Primates. 11: 87-89.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0208,Article,"Bezerra, B. M., Bastos, M., Souto, A., Keasey, M. P., Eason, P., Schiel, N., and Jones, G. 2014. Camera trap observations of nonhabituated critically endangered wild blonde capuchins, Sapajus flavius (formerly Cebus flavius). International Journal of Primatology. 35: 895-907.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0209,Article,"Hilrio, R. R., Rodrigues, F. H., Chiarello, A. G., and Mourthé, . 2012. Can roads be used as transects for primate population surveys. Folia Primatologica. 83: 47-55.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0210,Article,"Teixeira, F. Z., Printes, R. C., Fagundes, J. C. G., Alonso, A. C., and Kindel, A. 2013. Canopy bridges as road overpasses for wildlife in urban fragmented landscapes. Biota Neotropica. 13: 117-123.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0211,Article,"Albuquerque, N. M., Silvestre, S. M., Cardoso, T. S., Ruiz-Esparza, J. M., Rocha, P. A., Beltro-Mendes, R., and Ferrari, S. F. 2014. Capture of a Common Marmoset (Callithrix jacchus) by a Capuchin Monkey (Sapajus sp.) in the Ibura National Forest, Sergipe (Brazil). Neotropical Primates. 21: 218-220.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0212,Article,"Lynch Alfaro, J. W., Izar, P., and Ferreira, R. G. 2014. Capuchin monkey research priorities and urgent issues. American journal of primatology. 76: 705-720.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0213,Article,"Gomes, D. F., and Bicca?Marques, J. C. 2012. Capuchin monkeys (Cebus nigritus) use spatial and visual information during within?patch foraging. American journal of primatology. 74: 58-67.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0214,Article,"Wehncke, E. V., and Di Bitetti, M. S. 2013. Cebus nigritus impact the seedling assemblage below their main sleeping sites. Studies on neotropical fauna and environment. 48: 142-146.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0215,Article,"Visalberghi, E., Fragaszy, D., Ottoni, E., Izar, P., de Oliveira, M. G., and Andrade, F. R. D. 2007. Characteristics of hammer stones and anvils used by wild bearded capuchin monkeys (Cebus libidinosus) to crack open palm nuts. American Journal of Physical Anthropology. 132: 426-444.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0216,Article,"Simas, N. K., Ferrari, S. F., Pereira, S. N., and Leito, G. G. 2001. Chemical ecological characteristics of herbivory of Siparuna guianensis seeds by buffy-headed marmosets (Callithrix flaviceps) in the Atlantic forest of southeastern Brazil. Journal of chemical ecology. 27: 93-107.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0217,Article,"Monteiro, R. V., Baldez, J., Dietz, J., Baker, A., Lisboa, C. V., and Jansen, A. M. 2006. Clinical, biochemical, and electrocardiographic aspects of Trypanosoma cruzi infection in free?ranging golden lion tamarins (Leontopithecus rosalia). Journal of medical primatology. 35: 48-55.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0218,Article,"Slack, A., and Rapaport, L. G. 2011. Coforaging in wild golden lion tamarins (Leontopothecus rosalia) in the Unio reserve, RJ, Brazil. American Journal of Primatology. 73: 62-62.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0219,Article,"Martins, M. M. 2006. Comparative seed dispersal effectiveness of sympatric Alouatta guariba and Brachyteles arachnoides in southeastern Brazil. Biotropica. 38: 57-63.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0220,Article,"Hirsch, B. T., Tujague, M. P., Di Blanco, Y. E., Di Bitetti, M. S., and Janson, C. H. 2013. Comparing capuchins and coatis: causes and consequences of differing movement ecology in two sympatric mammals. Animal behaviour. 86: 331-338.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0221,Article,"Rodrigues, F. H. G., Silveira, L., Jcomo, A. T. A., Carmignotto, A. P., Bezerra, A. M. R., Coelho, D. C., Garbogini, H., Pagnozzi, J., and Hass, A. 2002. Composition and characterization of the mammal fauna of Emas National Park, Gois, Brasil.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0222,Article,"Miranda, J., and Passos, F. C. 2005. Composition and dynamics of Alouatta guariba clamitans Cabrera, groups (Primates, Atelidae) on an Araucaria Pine Forest remnant on Paran State, Brazil. Revista Brasileira de Zoologia. 22: 99-106.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0223,Article,"Scarry, C. J., and Tujague, M. P. 2012. Consequences of lethal intragroup aggression and alpha male replacement on intergroup relations and home range use in tufted capuchin monkeys (Cebus apella nigritus). American Journal of Primatology. 74: 804-810.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0224,Article,"Monteiro, R. V., Jansen, A. M., and Pinto, R. M. 2003. Coprological helminth screening in Brazilian free ranging golden lion tamarins, Leontopithecus rosalia (L., 1766)(Primates, Callithrichidae). Brazilian Journal of Biology. 63: 727-729.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0225,Article,"Souto, A., Bione, C. B., Bastos, M., Bezerra, B. M., Fragaszy, D., and Schiel, N. 2011. Critically endangered blonde capuchins fish for termites and use new techniques to accomplish the task. Biology Letters. 7: 532-535.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0226,Article,"Nogueira, D. M., Ferreira, A. M. R., Goldschmidt, B., Pissinatti, A., Carelli, J. B., and Verona, C. E. 2011. Cytogenetic study in natural hybrids of Callithrix (Callitrichidae: Primates) in the Atlantic forest of the state of Rio de Janeiro, Brazil. Iheringia. Série Zoologia. 101: 156-160.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0227,Article,"Lapenta, M. J., Procpio de Oliveira, P., and Nogueira-Neto, P. 2007. Daily activity period, home range and sleeping sites of golden lion tamarins (Leontopithecus rosalia) translocated to the Uniao Biological Reserve, RJ-Brazil. Mammalia. 71: 131-137.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0228,Article,"Mikich, S. B., and Liebsch, D. 2014. Damage to forest plantations by tufted capuchins (Sapajus nigritus): Too many monkeys or not enough fruits?. Forest Ecology and Management. 314: 9-16.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0229,Article,"Wheeler, B. C. 2010. Decrease in alarm call response among tufted capuchins in competitive feeding contexts: possible evidence for counterdeception. International Journal of Primatology. 31: 665-675.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0230,Article,"Sabatini, V., Ruiz-Miranda, C. R., and Dabelsteen, T. 2011. Degradation characteristics of golden lion tamarin Leontopithecus rosalia two-phrase long calls: implications for call detection and ranging in the evergreen forest. Bioacoustics. 20: 137-158.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0231,Article,"Linch, J. W., and Rmoli, J. 2000. Demography of a group of tufted capuchin monkeys (Cebus apella nigritus) at the Estao Biolgica da Caratinga, Minas Gerais, Brazil. 8: 44-49.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0232,Article,"Hilrio, R. R., and Ferrari, S. F. 2015. Dense understory and absence of capuchin monkeys (Sapajus xanthosternos) predict higher density of common marmosets (Callithrix jacchus) in the Brazilian Northeast. American journal of primatology. 77: 425-433.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0233,Article,"Burgoa, A., and Pacheco, L. F. 2008. Densidad de poblacin y uso de hbitat de Cebus libidinosus (primates, cebidae) en un bosque yungueo de Bolivia. Mastozoologa neotropical. 15: 273-283.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
